,MGHBC4_5,MGHBC4_tzp,MGHBC15_5,MGHBC15_tzp,MGHBC19_5,MGHBC19_tzp,MGHBC23_5,MGHBC23_tzp,MGHBC25_5,MGHBC25_tzp,MGHBC34_5,MGHBC34_tzp,MGHBC35_5,MGHBC35_tzp,MGHBC29_5,MGHBC29_tzp,MGHBC32_5,MGHBC32_tzp,MGHBC26_5,MGHBC26_tzp,MGHBC47_5,MGHBC47_tzp,MGHBC50_5,MGHBC50_tzp,MGHBC48_5,MGHBC48_tzp,MGHBC61_5,MGHBC61_tzp,MGHBC62_5,MGHBC62_tzp,MGHBC17kp_5,MGHBC17kp_tzp
CRE2_IMP_1_0.95,2,3,6,8,2,1,2,3,21,1,46,11,8,14,6,2,1,1,3,1,12,3,4,1,1,6,8,2,3,4,9,4
CRE2_IMP_3_8_0.95,13,9,18,15,28,33,38,36,28,51,39,7,59,80,35,38,40,17,44,30,38,30,33,16,15,23,20,23,14,18,22,16
CRE2_IMP_2_4_0.95,5,2,4,3,2,1,2,1,8,4,9,1,7,4,7,5,4,2,8,2,3,8,16,8,18,21,8,5,9,6,5,4
CRE2_IMP_5_0.95,9,6,17,16,25,18,43,29,14,32,44,7,73,48,39,24,37,16,40,23,17,19,22,13,14,16,23,20,12,15,18,13
CRE2_IMP_6_0.95,4,2,4,7,1,1,4,3,25,4,32,9,17,25,4,1,3,2,2,3,7,4,4,5,2,2,2,4,6,5,3,2
CRE2_IMP_7_0.95,5,3,2,3,5,2,6,6,4,8,13,5,13,18,7,9,5,3,11,14,8,12,10,9,17,25,6,3,5,6,4,8
CRE2_VIM_1_0.95,12,6,14,12,24,31,51,34,11,39,50,11,79,53,26,35,34,18,37,22,19,27,20,11,8,19,14,16,10,16,10,9
CRE2_VIM_2_3_0.95,3,1,14,8,4,3,3,1,30,2,91,20,15,21,1,4,1,1,4,1,7,4,3,6,4,3,3,4,3,1,3,3
OXA10_0.95,5,2,2,1,7,2,6,4,8,5,12,4,15,18,14,7,13,2,9,4,16,10,14,7,14,8,10,13,8,8,7,5
KpMero4_C_KPN_00050_0.97,6834,5985,4447,4189,1568,448,1127,476,1577,129,3352,916,2886,3950,4015,2644,1781,155,3675,1569,5430,2782,4918,633,3315,3369,2389,1464,1512,847,1964,977
KpMero4_C_KPN_00098_0.97,8953,7517,3886,3808,1601,425,1306,488,2097,139,3501,796,2593,3166,4234,3260,2068,126,4423,1825,6631,2787,5314,593,3095,3145,2389,1600,1904,827,2216,848
KpMero4_C_KPN_00100_0.97,45189,47539,30797,24757,12422,3480,8658,4425,10240,847,31485,6076,28661,40591,35109,22212,13341,1294,35667,15678,47368,23816,30135,4395,16869,17163,15471,9433,10661,5190,15658,7696
KpMero4_C_KPN_01276_0.92,5529,5559,2457,1832,967,332,752,431,864,167,2729,543,1878,2513,2398,1413,1334,175,2441,964,4162,2176,2921,526,1803,1569,1461,843,941,576,1281,697
KpMero4_C_KPN_02846_0.95,6188,5108,2675,2339,1509,410,898,353,1523,98,3275,683,2115,2890,2888,1533,1946,118,2360,800,5680,2877,3018,444,2426,2630,1569,879,1376,596,1581,742
KpMero4_C_KPN_03317_0.92,4928,5393,2088,1670,813,355,678,486,887,119,2807,468,2417,3621,1943,1651,940,145,2139,988,3905,2487,3046,499,1615,1639,1002,708,1151,710,1320,789
KpMero4_C_KPN_03634_0.92,2539,1772,2358,1669,603,229,529,263,632,110,1620,279,1925,2260,1776,1017,698,121,2352,738,2716,1283,2502,325,1343,1080,925,485,609,323,730,357
KpMero4_C_KPN_04666_0.97,5223,6678,3551,2738,1136,284,769,376,1330,136,2380,604,2725,3999,2574,1322,1422,150,2044,951,3867,1911,4139,528,2676,2331,1877,982,1013,657,1156,688
KpMero4_R01up_KPN_01226_0.97,1632,2046,829,1210,107,88,163,136,153,26,664,156,1077,1785,493,470,325,84,845,372,800,758,684,158,520,554,295,270,246,236,288,282
KpMero4_R02up_KPN_01107_0.97,2405,2653,587,549,397,188,286,288,814,64,715,195,1117,1556,372,414,979,120,487,401,1061,1278,1303,276,811,640,314,481,339,520,266,376
KpMero4_R03up_KPN_02345_0.95,13068,21049,5568,10684,2419,1365,1340,2057,2109,303,4791,1414,3983,8885,4506,9310,5160,945,3132,6535,7967,12562,5854,3211,4445,3996,2870,3895,1925,4148,2068,3202
KpMero4_R04up_KPN_02742_0.97,2619,3172,1530,1700,162,223,168,291,202,71,960,331,1674,3697,421,575,363,73,855,648,1731,1496,1055,331,331,333,420,602,186,657,424,527
KpMero4_R05dn_KPN_02241_0.92,9798,3891,176,56,104,15,152,29,46,11,4822,461,4266,3176,35,27,53,14,92,29,4482,436,630,36,317,461,25,30,207,136,434,75
KpMero4_R06up_KPN_03358_0.92,7328,9043,788,804,578,205,568,431,992,73,1869,513,3153,4307,1240,810,1008,114,1283,656,3405,2326,3694,439,2419,2021,434,328,1948,1621,1159,932
KpMero4_R07up_KPN_03934_0.92,20468,14099,5082,2776,2947,545,1829,502,3180,121,5137,1291,6809,7630,6246,1595,2923,138,6610,1215,10797,3472,9396,724,5164,3953,4004,1757,2373,849,4532,1312
KpMero4_R08dn_KPN_00868_0.92,20392,11636,1391,536,30,15,562,16,157,8,7213,1042,26895,40582,339,66,30,10,2502,132,10115,249,3517,45,2503,2568,307,308,1219,106,2759,308
KpMero4_R09up_KPN_02342_0.97,2078,3944,826,760,233,225,209,212,480,37,660,283,872,1586,460,512,1813,169,435,261,1804,1890,1451,534,917,776,395,381,453,634,393,618
KpMero4_R10up_KPN_00833_0.97,4052,5662,1027,1974,371,253,724,517,587,64,852,224,1281,2359,3497,2436,1050,198,1069,1264,2235,2241,1656,471,1604,1898,757,894,644,602,302,432
